86992,262495956.439
80065,233868575.126
77929,200962660.361
64149,200014984.997
93251,196661309.131
64184,189593043.454
28402,187189951.044
83838,177845864.619
6353,159575836.297
79685,158169654.282
74471,117936423.395
92868,109177258.790
25895,101439685.854
62496,97728736.600
13400,93206945.249
76447,51288807.183
47783,51033053.683
68711,49196293.968
17646,44314163.778
57682,34718050.743
54876,26311230.256
67229,25883891.390
52313,20217262.743
21656,14991984.674
22413,14518194.308
92196,14460163.219
43869,14336609.395
54184,13740394.608
7966,13519008.321
26468,13407803.998
53481,13300150.594
35365,12842253.767
15913,12508262.092
74703,12443441.521
91910,12078584.651
16433,11598424.700
60367,11157401.222
1620,10727272.544
87625,10660971.345
73870,10500196.969
21334,10487495.252
14245,10470872.787
74876,10412983.905
27011,10268511.302
46272,10260113.219
91187,9893119.398
85066,9410279.750
48677,9399562.983
7254,9334395.712
51387,9302390.450
56567,9101056.721
3444,8943801.821
29810,8921351.961
71444,8756794.883
11973,8354360.931
30392,8323381.400
65393,8062646.900
63074,7949715.167
32330,7860524.533
37508,7690386.450
74001,7613995.233
57027,7608412.233
64731,7597456.283
50350,7545204.750
84715,7367803.011
18910,7265742.388
41906,7261637.000
54421,7205796.150
78351,7197598.293
74463,7091603.463
20672,7084782.017
29129,7041849.583
65514,7013188.971
50592,6958774.850
73374,6947550.383
231,6946655.683
86396,6913394.219
35157,6875578.421
24787,6834423.183
78842,6803025.010
35226,6669217.633
63844,6656660.167
49056,6635123.821
55941,6568255.250
26337,6561327.650
17269,6528677.775
88158,6500222.300
39006,6496927.924
54283,6475863.233
14504,6441209.367
29961,6412157.286
59583,6411680.733
56637,6403774.250
36476,6379080.850
32100,6253097.433
79079,6247201.067
90067,6212618.883
38673,6157824.700
21387,6144215.919
33281,6067805.440
